query_id,response_id,query_text,response_text,response_number,response_type,response_label,total_responses,entity_html,entity_count,entities_json,entity_counts_json
Q0001,Q0001_R1,"I have a Lenovo Yoga 500 laptop which is a few years old but it is not detecting my broadband router.

When I had BT broadband it worked fine but I now have EE broadband and since installation of the router it no longer detects the new router.

The available networks list shows lots of routers, mainly ones detected from other houses nearby but not mine.

I have a mobile broadband router and sim from EE which works fine.

I have looked at the router settings, as some online fixes mention changing from WPA3 to WPA2 but both 5ghz and 2.5ghz are set to WPA2-Personal

Help much appreciated","The issue you're experiencing with your Lenovo Yoga 500 laptop not detecting the EE broadband router could be due to a few potential causes. First, ensure that your router is set to the correct channel and that it is not interfering with other networks. You might also want to check if your router is broadcasting its SSID (network name) and if it is set to allow connections from devices on different channels. Additionally, try resetting your router to its factory settings and then reconnecting it to your EE broadband service. If the problem persists, it could be worth contacting EE's technical support for further assistance. They can provide more specific guidance based on your router model and network configuration.",1,baseline_nlq_qwen-coder-ins,Baseline Nlq,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">The issue you're experiencing with your 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Lenovo Yoga
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    500
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">CARDINAL</span>
</mark>
 laptop not detecting the 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 broadband router could be due to a few potential causes. 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    First
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORDINAL</span>
</mark>
, ensure that your router is set to the correct channel and that it is not interfering with other networks. You might also want to check if your router is broadcasting its 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    SSID
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 (network name) and if it is set to allow connections from devices on different channels. Additionally, try resetting your router to its factory settings and then reconnecting it to your EE broadband service. If the problem persists, it could be worth contacting 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
's technical support for further assistance. They can provide more specific guidance based on your router model and network configuration.</div>",6,"[{""text"": ""Lenovo Yoga"", ""label"": ""ORG"", ""start"": 40, ""end"": 51}, {""text"": ""500"", ""label"": ""CARDINAL"", ""start"": 52, ""end"": 55}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 81, ""end"": 83}, {""text"": ""First"", ""label"": ""ORDINAL"", ""start"": 141, ""end"": 146}, {""text"": ""SSID"", ""label"": ""ORG"", ""start"": 318, ""end"": 322}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 585, ""end"": 587}]","{""ORG"": 4, ""CARDINAL"": 1, ""ORDINAL"": 1}"
Q0001,Q0001_R2,"I have a Lenovo Yoga 500 laptop which is a few years old but it is not detecting my broadband router.

When I had BT broadband it worked fine but I now have EE broadband and since installation of the router it no longer detects the new router.

The available networks list shows lots of routers, mainly ones detected from other houses nearby but not mine.

I have a mobile broadband router and sim from EE which works fine.

I have looked at the router settings, as some online fixes mention changing from WPA3 to WPA2 but both 5ghz and 2.5ghz are set to WPA2-Personal

Help much appreciated","The issue you're experiencing with your Lenovo Yoga 500 laptop not detecting your EE broadband router could be due to a few potential causes. First, ensure that your router is properly connected to the power source and that the Wi-Fi is turned on. Next, check if there are any physical obstructions blocking the Wi-Fi signal, such as walls or furniture. Additionally, try resetting your router to its factory settings and then reconnecting it to your EE broadband service. If the problem persists, it might be beneficial to contact EE's customer support for further assistance. They can provide more specific guidance based on your router model and any additional details you can provide.",2,rag_tfidf_qwen-coder-ins,Rag Tfidf,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">The issue you're experiencing with your 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Lenovo Yoga
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    500
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">CARDINAL</span>
</mark>
 laptop not detecting your EE broadband router could be due to a few potential causes. 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    First
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORDINAL</span>
</mark>
, ensure that your router is properly connected to the power source and that 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    the Wi-Fi
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 is turned on. Next, check if there are any physical obstructions blocking the Wi-Fi signal, such as walls or furniture. Additionally, try resetting your router to its factory settings and then reconnecting it to your EE broadband service. If the problem persists, it might be beneficial to contact 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
's customer support for further assistance. They can provide more specific guidance based on your router model and any additional details you can provide.</div>",5,"[{""text"": ""Lenovo Yoga"", ""label"": ""ORG"", ""start"": 40, ""end"": 51}, {""text"": ""500"", ""label"": ""CARDINAL"", ""start"": 52, ""end"": 55}, {""text"": ""First"", ""label"": ""ORDINAL"", ""start"": 142, ""end"": 147}, {""text"": ""the Wi-Fi"", ""label"": ""ORG"", ""start"": 224, ""end"": 233}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 532, ""end"": 534}]","{""ORG"": 3, ""CARDINAL"": 1, ""ORDINAL"": 1}"
Q0001,Q0001_R3,"I have a Lenovo Yoga 500 laptop which is a few years old but it is not detecting my broadband router.

When I had BT broadband it worked fine but I now have EE broadband and since installation of the router it no longer detects the new router.

The available networks list shows lots of routers, mainly ones detected from other houses nearby but not mine.

I have a mobile broadband router and sim from EE which works fine.

I have looked at the router settings, as some online fixes mention changing from WPA3 to WPA2 but both 5ghz and 2.5ghz are set to WPA2-Personal

Help much appreciated","The issue you're experiencing with your Lenovo Yoga 500 laptop not detecting the EE broadband router could be due to a few potential causes. First, ensure that the Ethernet cable is properly connected to the WAN port on your router and the corresponding port on your laptop. If you're using Wi-Fi, check that the Wi-Fi settings on your laptop are correctly configured to connect to the EE network. Additionally, try resetting the router to its factory settings and then reconnecting it to your broadband service. If the problem persists, it may be worth contacting EE's customer support for further assistance.",3,rag_embedding_qwen-coder-ins,Rag Embedding,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">The issue you're experiencing with your 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Lenovo Yoga
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    500
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">CARDINAL</span>
</mark>
 laptop not detecting the 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 broadband router could be due to a few potential causes. 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    First
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORDINAL</span>
</mark>
, ensure that the Ethernet cable is properly connected to the 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    WAN
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 port on your router and the corresponding port on your laptop. If you're using Wi-Fi, check that the Wi-Fi settings on your laptop are correctly configured to connect to the EE network. Additionally, try resetting the router to its factory settings and then reconnecting it to your broadband service. If the problem persists, it may be worth contacting 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
's customer support for further assistance.</div>",6,"[{""text"": ""Lenovo Yoga"", ""label"": ""ORG"", ""start"": 40, ""end"": 51}, {""text"": ""500"", ""label"": ""CARDINAL"", ""start"": 52, ""end"": 55}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 81, ""end"": 83}, {""text"": ""First"", ""label"": ""ORDINAL"", ""start"": 141, ""end"": 146}, {""text"": ""WAN"", ""label"": ""ORG"", ""start"": 208, ""end"": 211}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 565, ""end"": 567}]","{""ORG"": 4, ""CARDINAL"": 1, ""ORDINAL"": 1}"
Q0001,Q0001_R4,"I have a Lenovo Yoga 500 laptop which is a few years old but it is not detecting my broadband router.

When I had BT broadband it worked fine but I now have EE broadband and since installation of the router it no longer detects the new router.

The available networks list shows lots of routers, mainly ones detected from other houses nearby but not mine.

I have a mobile broadband router and sim from EE which works fine.

I have looked at the router settings, as some online fixes mention changing from WPA3 to WPA2 but both 5ghz and 2.5ghz are set to WPA2-Personal

Help much appreciated","The issue you're experiencing with your Lenovo Yoga 500 laptop not detecting the EE broadband router could be due to a few potential causes. First, ensure that your router is set to the correct channel and that it is broadcasting its signal properly. Sometimes, changing the channel to a less congested one can help. Additionally, check if your router is set to a security mode that is compatible with your laptop's wireless settings. If the problem persists, it might be worth resetting your router to factory settings and then reconnecting it to your EE broadband service. If these steps do not resolve the issue, you may want to contact EE's customer support for further assistance.",4,rag_hybrid_qwen-coder-ins,Rag Hybrid,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">The issue you're experiencing with your 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Lenovo Yoga
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    500
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">CARDINAL</span>
</mark>
 laptop not detecting the 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 broadband router could be due to a few potential causes. 
<mark class=""entity"" style=""background: #e4e7d2; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    First
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORDINAL</span>
</mark>
, ensure that your router is set to the correct channel and that it is broadcasting its signal properly. Sometimes, changing the channel to a less congested one can help. Additionally, check if your router is set to a security mode that is compatible with your laptop's wireless settings. If the problem persists, it might be worth resetting your router to factory settings and then reconnecting it to your EE broadband service. If these steps do not resolve the issue, you may want to contact 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    EE
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
's customer support for further assistance.</div>",5,"[{""text"": ""Lenovo Yoga"", ""label"": ""ORG"", ""start"": 40, ""end"": 51}, {""text"": ""500"", ""label"": ""CARDINAL"", ""start"": 52, ""end"": 55}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 81, ""end"": 83}, {""text"": ""First"", ""label"": ""ORDINAL"", ""start"": 141, ""end"": 146}, {""text"": ""EE"", ""label"": ""ORG"", ""start"": 640, ""end"": 642}]","{""ORG"": 3, ""CARDINAL"": 1, ""ORDINAL"": 1}"
Q0002,Q0002_R1,EE app tells me I have altered the aqua light successfully BUT the light stays the same. It is too bright. The router is fine. Chat of little use. Can anyone tell me how to alter the light please?,"To adjust the brightness of the Aqua light, go to the EE app, navigate to 'Settings', then 'Lighting'. You can then use the brightness slider to reduce the light's intensity. If the issue persists, try restarting your device or the router. If the problem continues, please contact EE support",1,baseline_nlq_qwen-coder-ins,Baseline Nlq,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">To adjust the brightness of the 
<mark class=""entity"" style=""background: #7aecec; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Aqua
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">ORG</span>
</mark>
 light, go to the EE app, navigate to 
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    'Settings'
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
, then '
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Lighting
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
'. You can then use the brightness slider to reduce the light's intensity. If the issue persists, try restarting your device or the router. If the problem continues, please contact EE support</div>",3,"[{""text"": ""Aqua"", ""label"": ""ORG"", ""start"": 32, ""end"": 36}, {""text"": ""'Settings'"", ""label"": ""WORK_OF_ART"", ""start"": 74, ""end"": 84}, {""text"": ""Lighting"", ""label"": ""WORK_OF_ART"", ""start"": 92, ""end"": 100}]","{""ORG"": 1, ""WORK_OF_ART"": 2}"
Q0002,Q0002_R2,EE app tells me I have altered the aqua light successfully BUT the light stays the same. It is too bright. The router is fine. Chat of little use. Can anyone tell me how to alter the light please?,"To adjust the light brightness on your EE hub, go to the EE app, navigate to 'Settings', then 'Hub Settings', and select 'Light Brightness'. Choose a lower setting to dim the light. If the issue persists, try restarting your hub or contact EE support",2,rag_tfidf_qwen-coder-ins,Rag Tfidf,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">To adjust the light brightness on your EE hub, go to the EE app, navigate to 
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    'Settings'
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
, then 'Hub Settings', and select 
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    'Light Brightness'
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
. Choose a lower setting to dim the light. If the issue persists, try restarting your hub or contact EE support</div>",2,"[{""text"": ""'Settings'"", ""label"": ""WORK_OF_ART"", ""start"": 77, ""end"": 87}, {""text"": ""'Light Brightness'"", ""label"": ""WORK_OF_ART"", ""start"": 121, ""end"": 139}]","{""WORK_OF_ART"": 2}"
Q0002,Q0002_R3,EE app tells me I have altered the aqua light successfully BUT the light stays the same. It is too bright. The router is fine. Chat of little use. Can anyone tell me how to alter the light please?,"To adjust the light settings on your EE app, ensure you have reset your hub. If the light remains too bright, try adjusting the brightness level within the app or contact EE support",3,rag_embedding_qwen-coder-ins,Rag Embedding,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">To adjust the light settings on your EE app, ensure you have reset your hub. If the light remains too bright, try adjusting the brightness level within the app or contact EE support</div>",0,[],{}
Q0002,Q0002_R4,EE app tells me I have altered the aqua light successfully BUT the light stays the same. It is too bright. The router is fine. Chat of little use. Can anyone tell me how to alter the light please?,"To adjust the light settings on your EE app, go to the 'My Home' section, select 'Lighting', and then choose 'Aqua'. Adjust the brightness slider until it meets your preference. If the light remains too bright, try resetting your hub by following the instructions in the app or contacting EE support",4,rag_hybrid_qwen-coder-ins,Rag Hybrid,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">To adjust the light settings on your EE app, go to the 'My Home' section, select '
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Lighting
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
', and then choose '
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Aqua'
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
. Adjust the brightness slider until it meets your preference. If the light remains too bright, try resetting your hub by following the instructions in the app or contacting EE support</div>",2,"[{""text"": ""Lighting"", ""label"": ""WORK_OF_ART"", ""start"": 82, ""end"": 90}, {""text"": ""Aqua'"", ""label"": ""WORK_OF_ART"", ""start"": 110, ""end"": 115}]","{""WORK_OF_ART"": 2}"
Q0003,Q0003_R1,"Hi all. Just recently got this but despite connecting via ethernet and trying to connect via WiFi connect, I cannot get the hybrid connect to work. The Hybrid Connect keeps flashing green. The signal shows two bars out of three whilst it's trying to connect.

Any help gratefully received as we're due a storm later today and our power may go off!","Hi, thank you for reaching out. It sounds like you're experiencing an issue with Hybrid Connect. Could you please try restarting your router and modem? If that doesn't work, you might want to check your network settings to ensure they are configured correctly for Hybrid Connect. If the problem persists, I recommend contacting our technical support team for further assistance. They can provide more specific guidance based on your account details. Thank you for your patience, and we hope to resolve this for you quickly. Stay safe!",1,baseline_nlq_qwen-coder-ins,Baseline Nlq,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">Hi, thank you for reaching out. It sounds like you're experiencing an issue with 
<mark class=""entity"" style=""background: #aa9cfc; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Hybrid Connect
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">PERSON</span>
</mark>
. Could you please try restarting your router and modem? If that doesn't work, you might want to check your network settings to ensure they are configured correctly for 
<mark class=""entity"" style=""background: #f0d0ff; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Hybrid Connect
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">WORK_OF_ART</span>
</mark>
. If the problem persists, I recommend contacting our technical support team for further assistance. They can provide more specific guidance based on your account details. Thank you for your patience, and we hope to resolve this for you quickly. Stay safe!</div>",2,"[{""text"": ""Hybrid Connect"", ""label"": ""PERSON"", ""start"": 81, ""end"": 95}, {""text"": ""Hybrid Connect"", ""label"": ""WORK_OF_ART"", ""start"": 264, ""end"": 278}]","{""PERSON"": 1, ""WORK_OF_ART"": 1}"
Q0003,Q0003_R2,"Hi all. Just recently got this but despite connecting via ethernet and trying to connect via WiFi connect, I cannot get the hybrid connect to work. The Hybrid Connect keeps flashing green. The signal shows two bars out of three whilst it's trying to connect.

Any help gratefully received as we're due a storm later today and our power may go off!","To resolve the issue with your Hybrid Connect, please perform a factory reset. After resetting, try connecting again via Ethernet or WiFi. If the problem persists, the flashing green could indicate a pairing issue. In that case, ensure the Hybrid Connect is within range of your Smart Hub and try connecting again. If the issue continues, the flashing green might also suggest a problem with the Hybrid Connect itself. In such a case, you may need to contact EE or BT support for further assistance. Stay safe during the storm!",2,rag_tfidf_qwen-coder-ins,Rag Tfidf,4,"<div class=""entities"" style=""line-height: 2.5; direction: ltr"">To resolve the issue with your 
<mark class=""entity"" style=""background: #aa9cfc; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    Hybrid Connect
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">PERSON</span>
</mark>
, please perform a factory reset. After resetting, try connecting again via Ethernet or 
<mark class=""entity"" style=""background: #aa9cfc; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    WiFi
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">PERSON</span>
</mark>
. If the problem persists, the flashing green could indicate a pairing issue. In that case, ensure 
<mark class=""entity"" style=""background: #bfeeb7; padding: 0.45em 0.6em; margin: 0 0.25em; line-height: 1; border-radius: 0.35em;"">
    the Hybrid Connect
    <span style=""font-size: 0.8em; font-weight: bold; line-height: 1; border-radius: 0.35em; vertical-align: middle; margin-left: 0.5rem"">PRODUCT</span>
</mark>
 is within range of your Smart Hub and try connecting again. If the issue continues, the flashing green might also suggest a problem with the Hybrid Connect itself. In such a case, you may need to contact EE or BT support for further assistance. Stay safe during the storm!</div>",3,"[{""text"": ""Hybrid Connect"", ""label"": ""PERSON"", ""start"": 31, ""end"": 45}, {""text"": ""WiFi"", ""label"": ""PERSON"", ""start"": 133, ""end"": 137}, {""text"": ""the Hybrid Connect"", ""label"": ""PRODUCT"", ""start"": 236, ""end"": 254}]","{""PERSON"": 2, ""PRODUCT"": 1}"
